FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,2006,3,,11/3/2005,20051103,FIRE,W2006083,,,0.0424,-37.66370491,143.5406074
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24215377,141.11581
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0.0001,-34.24228298,141.1196518
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0.0001,-34.24215571,141.1158026
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24208668,141.1602794
BUSHFIRE,2007,38,,2/18/2007,20070218,FIRE,W20070438,,,0.2852,-38.07733522,141.6251664
BUSHFIRE,2007,38,,2/18/2007,20070218,FIRE,W20070438,,,0.1286,-38.0765229,141.623587
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.2420824,141.1602791
BUSHFIRE,2009,61,,2/8/2009,20090208,FIRE,W20091861,,,2.06,-37.67687435,145.9130906
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24208358,141.1602736
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24208302,141.1602878
BUSHFIRE,2009,999,,,20090101,FIRE,W200902999,,,0.1116,-38.27285841,145.9654701
BUSHFIRE,2016,36,WYPERFELD - EUCY TRACK,12/12/2015,20151212,FIRE,W20162236,,,0.0001,-35.62305423,142.2605328
BUSHFIRE,2016,36,WYPERFELD - EUCY TRACK,12/12/2015,20151212,FIRE,W20162236,,,0,-35.62303587,142.2605395
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24207594,141.1602739
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.23869842,141.1574922
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,1049.538,-34.25523444,141.1206671
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.79723993,141.2704869
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.79680715,141.2623512
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.79793687,141.2997619
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.79678925,141.2704301
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.78126614,141.2347486
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.79473346,141.080734
BUSHFIRE,2019,50,MALLEE 50 - MSNP - MILLEWA SOUTH BORE TRACK,11/2/2018,20181102,FIRE,W201922050,952860,,0.01,-34.77442892,141.1004953
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.79784062,141.3021963
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.79779191,141.3036349
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.79635271,141.2640097
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.78102492,141.2427146
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.78180219,141.2792312
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.78135036,141.2796723
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.78008222,141.2407201
