,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
212,213,3494,CAT 2,Olinda Primary School,Government,45 Charlemont Lane,Olinda,Yarra Ranges,Central,145.36619,-37.8547
213,214,1793,CAT 3,Olivet Christian College,Independent,89 Main Rd,Campbells Creek,Mount Alexander,North Central,144.20542,-37.08849
214,215,831,CAT 2,Omeo Primary School,Government,167 Day Avenue,Omeo,East Gippsland,East Gippsland,147.59308,-37.10022
215,216,1463,CAT 2,Osbornes Flat Primary School,Government,354 Osbornes Flat Road,Osbornes Flat,Indigo,North East,146.89257,-36.31716
216,217,7618,CAT 2,Outdoor School - Outdoor School Bogong,Government,1 Black Possum Road,Bogong,Alpine,North East,147.22537,-36.80408
217,218,8220,CAT 3,Ouyen P-12 College,Government,1-35 Fuller Street,Ouyen,Mildura,Mallee,142.32261,-35.06457
218,219,1134,CAT 3,Panton Hill Primary School,Government,585 Kangaroo Grd-St Andrews Rd,Panton Hill,Nillumbik,Central,145.23956,-37.64161
219,220,4854,CAT 3,Park Orchards Primary School,Government,1-3 Bowmore Avenue,Park Orchards,Manningham,Central,145.21592,-37.77952
220,221,1610,CAT 3,Peninsula Grammar,Independent,20 Wooralla Drive,Mt Eliza,Mornington Peninsula,Central,145.09069,-38.19817
221,222,5230,CAT 3,Peninsula Specialist College,Government,25 Old White Hill Road,Dromana,Mornington Peninsula,Central,145.01011,-38.34184
222,223,3261,CAT 2,Perseverance Primary School,Government,Centreway,French Island,Unincorporated Vic,Central,145.33341,-38.38338
223,224,3322,CAT 3,Point Lonsdale Primary School,Government,22 Bowen Road,Point Lonsdale,Queenscliffe,Central,144.62113,-38.27443
224,225,2859,CAT 2,Pomonal Primary School,Government,2859 Ararat - Halls Gap Road,Pomonal,Ararat,South West,142.60873,-37.19344
225,226,1144,CAT 3,Porepunkah Primary School,Government,2 Martley Street,Porepunkah,Alpine,North East,146.91102,-36.69949
226,227,1855,CAT 3,Puckapunyal Primary School,Government,Alamein Road,Puckapunyal,Mitchell,North Central,145.03351,-37.00263
227,228,2005,CAT 3,Pyalong Primary School,Government,10-14 Bourke Street,Pyalong,Mitchell,North Central,144.85709,-37.11724
228,229,1165,CAT 3,Quarry Hill Primary School,Government,25 Peel Street,Quarry Hill,Greater Bendigo,Northern Country,144.27998,-36.77512
229,230,5389,CAT 1,Rawson Primary School,Government,Knotts Siding Road,Rawson,Baw Baw,Central,146.39897,-37.95912
230,231,1844,CAT 3,Raywood Primary School,Government,18-22 Sandhurst Street,Raywood,Greater Bendigo,Northern Country,144.2048,-36.53947
231,232,6249,CAT 3,Red Hill Consolidated School,Government,341 Arthurs Seat Road,Red Hill,Mornington Peninsula,Central,144.99527,-38.36668
232,233,2571,CAT 3,Redesdale Mia Mia Primary School,Government,31 School Road,Redesdale,Greater Bendigo,Northern Country,144.53089,-37.01952
233,234,528,CAT 3,Riddells Creek Primary School,Government,69-77 Main Road,Riddells Creek,Macedon Ranges,Central,144.67978,-37.46122
234,235,8294,CAT 3,Rubicon Outdoor Centre - Thornton Campus,Government,264 Rubicon Road,Thornton,Murrindindi,North Central,145.82134,-37.29493
235,236,6238,CAT 2,Rushworth P-12 College,Government,45 Heily Street,Rushworth,Campaspe,Northern Country,145.0144,-36.58332
236,237,413,CAT 3,Sacred Heart School - Glenelg,Catholic,39 Robertson Street,Casterton,Glenelg,South West,141.41363,-37.58601
237,238,1623,CAT 3,Sacred Heart School - Nillumbik,Catholic,25 Gipson Street,Diamond Creek,Nillumbik,Central,145.15878,-37.67215
238,239,3222,CAT 2,Sassafras Primary School,Government,399 Mt Dandenong Tourist Road,Sassafras,Yarra Ranges,Central,145.35455,-37.86162
239,240,4324,CAT 3,Seaspray Primary School,Government,15 Prospect Road,Seaspray,Wellington,West and South Gippsland,147.17062,-38.35649
240,241,4685,CAT 2,Selby Primary School,Government,2 Morley Street,Selby,Yarra Ranges,Central,145.36752,-37.91143
241,242,2820,CAT 3,Seville Primary School,Government,639 Warburton Highway,Seville,Yarra Ranges,Central,145.46441,-37.77389
242,243,6252,CAT 2,Sherbrooke Community School,Government,311 Mt Dandenong Tourist Road,Sassafras,Yarra Ranges,Central,145.34944,-37.86824
243,244,2246,CAT 3,Sidrah Gardens School,Independent,434-442 Belgrave-Hallam Road ,NARRE WARREN NORTH,Casey ,Central,145.31589,-37.97324
244,245,1801,CAT 3,Silvan Primary School,Government,269 Monbulk Road,Silvan,Yarra Ranges,Central,145.42132,-37.8246
245,246,4895,CAT 3,Simpson Primary School,Government,1 Cockayne Street,Simpson,Corangamite,South West,143.20788,-38.49862
246,247,4647,CAT 3,Somers School Camp,Government,124 Lord Somers Road,Somers,Mornington Peninsula,Central,145.14575,-38.38878
247,248,1316,CAT 3,Specimen Hill Primary School,Government,Inglewood Street,Golden Square,Greater Bendigo,Northern Country,144.24834,-36.76187
248,249,3505,CAT 3,Spring Gully Primary School,Government,104-110 Spring Gully Road,Bendigo,Greater Bendigo,Northern Country,144.28446,-36.79318
249,250,289,CAT 3,St Ambrose's School,Catholic,14 - 17 Templeton Street,Woodend,Macedon Ranges,Central,144.53049,-37.35779
250,251,128,CAT 1,St Andrews Primary School,Government,Caledonia Street,St Andrews,Nillumbik,Central,145.26983,-37.60232
251,252,1805,CAT 3,St Anne's School,Catholic,60 Knees Road,Park Orchards,Manningham,Central,145.21859,-37.7733
252,253,8335,CAT 3,St Arnaud Secondary College,Government,Smith Street,St Arnaud,Northern Grampians,Wimmera,143.25094,-36.60955
253,254,1857,CAT 3,St Bernadette's Catholic Primary School,Catholic,1264 Mountain Highway,The Basin,Knox,Central,145.31084,-37.8539
254,255,1013,CAT 3,St Brigid's School,Catholic,1 High Street,Healesville,Yarra Ranges,Central,145.5158,-37.65868
255,256,2029,CAT 3,"St Francis of Assisi Primary School, Wodonga",Catholic,214 Baranduda Boulevard,Baranduda,Wodonga,North East,146.93993,-36.17389
256,257,1940,CAT 3,St Francis of the Fields School,Catholic,Blucher Street,Strathfieldsaye,Greater Bendigo,Northern Country,144.36129,-36.80447
257,258,981,CAT 3,St Francis Xavier School,Catholic,Fortune Street,Ballarat East,Ballarat,Central,144.23409,-36.78768
258,259,672,CAT 3,St Joseph's School,Catholic,6 Priory Lane,Beechworth,Indigo,North East,146.68281,-36.36007
259,260,367,CAT 3,St Joseph's School,Catholic,142 North Road,Chiltern,Indigo,North East,146.60706,-36.14598
260,261,1260,CAT 3,St Joseph's School,Catholic,17 Martin Street,Crib Point,Mornington Peninsula,Central,145.20281,-38.36147
261,262,1579,CAT 3,St Joseph's School,Catholic,40 Milners Road,Yarra Junction,Yarra Ranges,Central,145.61681,-37.79217
262,263,191,CAT 3,St Mary's School,Catholic,2 Raglan Street,Lancefield,Macedon Ranges,Central,144.73173,-37.27876
263,264,1804,CAT 3,St Mary's School,Catholic,58 Clegg Road,Mount Evelyn,Yarra Ranges,Central,145.39586,-37.79052
264,265,1523,CAT 3,St Mary's School,Catholic,5-7 Southam Street,Rushworth,Campaspe,Northern Country,145.0112,-36.5878
265,266,715,CAT 3,St Michael's School,Catholic,29 Smith Street,Daylesford,Hepburn,Central,144.15136,-37.33724
266,267,204,CAT 3,St Monica's School,Catholic,91 High Street,Kangaroo Flat,Greater Bendigo,Northern Country,144.2448,-36.7942
267,268,227,CAT 3,St Patrick's School,Catholic,Wattle Street,St Arnaud,Northern Grampians,Wimmera,143.24686,-36.61708
268,269,1897,CAT 3,St Paul Apostle North School,Catholic,76 Mossgiel Park Drive,Endeavour Hills,Casey,Central,145.26266,-37.96753
269,270,1879,CAT 3,St Paul's School,Catholic,59 Moores Road,Monbulk,Yarra Ranges,Central,145.41206,-37.868
270,271,1577,CAT 3,St Peter's Lutheran School,Independent,6-26 Horsham Road,Dimboola,Hindmarsh,Wimmera,142.03758,-36.45706
271,272,1618,CAT 3,St Thomas More's School,Catholic,Reynold's Lane,Belgrave,Yarra Ranges,Central,145.35268,-37.90841
272,273,1822,CAT 3,St Thomas More's School,Catholic,313 Canadian Bay Road,Mount Eliza,Mornington Peninsula,Central,145.10114,-38.19773
273,274,3947,CAT 2,Strathewen Primary School,Government,5 School Ridge Road,Strathewen,Nillumbik,Central,145.27009,-37.54758
274,275,1211,CAT 3,Strathfieldsaye Primary School,Government,9 Uxbridge Street,Strathfieldsaye,Greater Bendigo,Northern Country,144.35291,-36.80436
275,276,1631,CAT 3,Swan Reach Primary School,Government,21 School Road,Swan Reach,East Gippsland,East Gippsland,147.86479,-37.82108
276,277,954,CAT 3,Talbot Primary School,Government,2 Rowe Street,Talbot,Central Goldfields,North Central,143.7036,-37.16865
277,278,1954,CAT 3,Talgarno Primary School,Government,14 Talgarno School Lane,Talgarno,Towong,North East,147.15915,-36.0658
278,279,2216,CAT 3,Tambo Upper Primary School,Government,890 Tambo Upper Road,Tambo Upper,East Gippsland,East Gippsland,147.8452,-37.7662
279,280,614,CAT 3,Taradale Primary School,Government,98 High Street,Taradale,Mount Alexander,North Central,144.35106,-37.14131
280,281,1023,CAT 3,Tarnagulla Primary School,Government,51 Stanley Street,Tarnagulla,Loddon,Northern Country,143.8284,-36.77126
281,282,4275,CAT 3,Tarwin Lower Primary School,Government,School Road,Tarwin Lower,South Gippsland,West and South Gippsland,145.86706,-38.70257
282,283,2282,CAT 3,Tawonga Primary School,Government,Kiewa Valley Highway,Tawonga,Alpine,North East,147.14325,-36.6914
283,284,3356,CAT 3,Tecoma Primary School,Government,1536 Burwood Highway,Tecoma,Yarra Ranges,Central,145.34492,-37.90696
284,285,5386,CAT 3,Tempy Primary School,Government,13 Harrison Street,Tempy,Yarriambiack,Mallee,142.42708,-35.34395
285,286,8837,CAT 1,The Alpine School - Dinner Plain Campus,Government,Great Alpine Road,Dinner Plain,Alpine,North East,147.24592,-37.02329
286,287,2329,CAT 3,The Basin Primary School,Government,Cnr Liverpool Road & Mountain Highway,The Basin,Knox,Central,145.30842,-37.84951
287,288,5173,CAT 2,The Patch Primary School,Government,53 Kallista-Emerald Road,The Patch,Yarra Ranges,Central,145.39284,-37.89242
288,289,6260,CAT 3,Timboon P-12 School,Government,Bailey Street,Timboon,Corangamite,South West,142.97589,-38.48406
289,290,1207,CAT 3,Timor Primary School,Government,395 Bet Bet Creek Road,Timor,Central Goldfields,North Central,143.71199,-36.98422
290,291,1225,CAT 3,Tooborac Primary School,Government,5185 Northern Highway,Tooborac,Mitchell,North Central,144.79814,-37.03978
291,292,1455,CAT 3,Toolamba Primary School,Government,69-77 Wren Street,Toolamba,Greater Shepparton,Northern Country,145.34418,-36.49052
292,293,3237,CAT 2,Toolangi Primary School,Government,Main Road,Toolangi,Murrindindi,North Central,145.4725,-37.53537
293,294,5414,CAT 3,Toolern Vale and District Primary School,Government,361 Creamery Road,Toolern Vale,Melton,Central,144.59423,-37.60627
294,295,3968,CAT 3,Toorloo Arm Primary School,Government,315 Lake Tyers Beach Road,Lake Tyers Beach,East Gippsland,East Gippsland,148.05097,-37.85254
295,296,2114,CAT 3,Traralgon South Primary School,Government,13 - 19 Keith Morgan Drive,Traralgon South,Latrobe,East Gippsland,146.54015,-38.29726
296,297,1588,CAT 3,Trentham District Primary School,Government,8 Bridge Street,Trentham,Hepburn,Central,144.3281,-37.38797
297,298,3129,CAT 3,Tyabb Primary School,Government,186 Mornington-Tyabb Road,Tyabb,Mornington Peninsula,Central,145.16664,-38.26071
298,299,2182,CAT 3,Tyers Primary School,Government,Main Road,Tyers,Latrobe,East Gippsland,146.47754,-38.14911
299,300,621,CAT 3,Tylden Primary School,Government,11 Clowes Street,Tylden,Macedon Ranges,Central,144.40878,-37.32497
300,301,3426,CAT 3,Ultima Primary School,Government,Cnr Cameron & O'Connor Street,Ultima,Swan Hill,Mallee,143.26617,-35.47623
301,302,3819,CAT 3,Underbool Primary School,Government,67 Cotter Street,Underbool,Mildura,Mallee,141.81405,-35.17057
302,303,1244,CAT 3,Upper Plenty Primary School,Government,10 Clarkes Road,Upper Plenty,Mitchell,North Central,145.05787,-37.42371
303,304,3145,CAT 3,Upper Sandy Creek Primary School,Government,1037 Sandy Creek Road,Sandy Creek,Indigo,North East,147.1129,-36.35518
304,305,8410,CAT 3,Upper Yarra Secondary College,Government,81-89 Little Yarra Road,Yarra Junction,Yarra Ranges,Central,145.62393,-37.79209
305,306,8415,CAT 3,Upwey High School,Government,1451 Burwood Highway,Upwey,Yarra Ranges,Central,145.33548,-37.90436
306,307,4530,CAT 3,Upwey Primary School,Government,15 Darling Avenue,Upwey,Yarra Ranges,Central,145.3328,-37.90287
307,308,4894,CAT 3,Upwey South Primary School,Government,91 Morris Road,Upwey,Yarra Ranges,Central,145.32684,-37.91314
308,309,1946,CAT 3,Victory Christian College,Independent,6 Kairn Road,Strathdale,Greater Bendigo,Northern Country,144.31346,-36.78263
309,310,1836,CAT 3,Village School,Independent,9-13 Holloway Road,Croydon North,Maroondah,Central,145.29449,-37.76375
310,311,3345,CAT 3,Wallington Primary School,Government,608 - 610 Wallington Road,Wallington,Greater Geelong,Central,144.50685,-38.21788
311,312,275,CAT 2,Wandiligong Primary School,Government,119 School Road,Wandiligong,Alpine,North East,146.98292,-36.76886
312,313,3892,CAT 3,Wandin North Primary School,Government,220 Warburton Highway,Wandin North,Yarra Ranges,Central,145.40971,-37.76978
313,314,1033,CAT 3,Wandin Yallock Primary School,Government,105 Beenak Road,Wandin North,Yarra Ranges,Central,145.43595,-37.79025
314,315,1277,CAT 3,Wandong Primary School,Government,39-51 Rail Street,Wandong,Mitchell,North Central,145.02786,-37.3603
315,316,643,CAT 3,Wangaratta Primary School,Government,19 Chisholm Street,Wangaratta,Wangaratta,North East,146.32942,-36.35528
316,317,1485,CAT 2,Warburton Primary School,Government,16 Horners Road,Warburton,Yarra Ranges,Central,145.7017,-37.7558
317,318,8437,CAT 3,Warrandyte High School,Government,241-247 Heidelberg-Warrandyte Rd,Warrandyte,Manningham,Central,145.18422,-37.74827
318,319,12,CAT 1,Warrandyte Primary School,Government,5-11 Forbes Street,Warrandyte,Manningham,Central,145.21398,-37.74268
319,320,4060,CAT 3,Wattle Glen Primary School,Government,16-24 Reynolds Road,Wattle Glen,Nillumbik,Central,145.18204,-37.66884
320,321,859,CAT 3,Waubra Primary School,Government,2110 Sunraysia Highway,Waubra,Pyrenees,South West,143.63446,-37.35384
321,322,6257,CAT 3,Werrimull P-12 School,Government,5 McDonald Street,Werrimull,Mildura,Mallee,141.59384,-34.39041
322,323,3466,CAT 2,Wesburn Primary School,Government,2850 Warburton Highway,Wesburn,Yarra Ranges,Central,145.64707,-37.76869
323,324,7893,CAT 3,Western Port Secondary College,Government,215 High Street,Hastings,Mornington Peninsula,Central,145.17638,-38.30817
324,325,1473,CAT 3,Whitefriars College Inc,Catholic,156 Park Road,Donvale,Manningham,Central,145.19954,-37.7918
325,326,5397,CAT 3,Whitfield District Primary School,Government,6182 Mansfield Road,Whitfield,Wangaratta,North East,146.41206,-36.76558
