,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
448,449,1825,CAT 4,Good Shepherd College - Main Campus,Independent,297 Mount Napier Road,Hamilton,Southern Grampians,South West,142.04149,-37.77083
449,450,841,CAT 4,St Joseph's School,Catholic,167 Burke Street,Warragul,Baw Baw,West and South Gippsland,145.91202,-38.15861
450,451,755,CAT 4,Gordon Primary School,Government,1 Dicker Street,Gordon,Moorabool,Central,144.10505,-37.58385
451,452,6223,CAT 4,Goroke P-12 College,Government,55 Natimuk-Frances Road,Goroke,West Wimmera,Wimmera,141.48354,-36.71579
452,453,1840,CAT 4,Goulburn Valley Grammar School,Independent,455 Verney Road,Shepparton,Greater Shepparton,Northern Country,145.41558,-36.32748
453,454,1886,CAT 4,Grace Christian College Wodonga,Independent,20 Kinchington Road,Leneva,Wodonga,North East,144.99881,-37.80898
454,455,5381,CAT 4,Grasmere Primary School,Government,16 Ibbs Lane,Grasmere,Moyne,South West,142.52288,-38.28599
455,456,4853,CAT 4,Guthridge Primary School,Government,Dawson Street,Sale,Wellington,West and South Gippsland,147.08383,-38.0957
456,457,1076,CAT 4,Haddon Primary School,Government,398 Sago Hill Road,Haddon,Golden Plains,Central,143.72171,-37.58864
457,458,2035,CAT 4,Hamilton North Primary School,Government,34 - 50 Andrews Street,Hamilton,Southern Grampians,South West,141.99515,-37.72646
458,459,5283,CAT 4,Hamilton Parklands School,Government,15 Kerr Street,Hamilton,Southern Grampians,South West,142.02246,-37.72686
459,460,5276,CAT 4,Hampden Specialist School,Government,36 Grayland Street,Cobden,Corangamite,South West,143.06466,-38.32356
460,461,2106,CAT 4,Harkaway Hills College,Independent,20 A'Beckett Road,Narre Warren North,Casey,Central,145.31587,-37.97749
461,462,1458,CAT 4,Harston Primary School,Government,155 Harston Road,Tatura,Greater Shepparton,Northern Country,145.14175,-36.46986
462,463,8816,CAT 4,Heathmont College,Government,Waters Grove,Heathmont,Maroondah,Central,145.2321,-37.83843
463,464,2102,CAT 4,Hoa Nghiem Primary School,Independent,442-448 Springvale Road,Springvale South,Greater Dandenong,Central,145.14879,-37.96694
464,465,1767,CAT 4,Holy Trinity Lutheran College,Independent,Trinity Drive,Horsham,Horsham,Wimmera,142.21775,-36.70818
465,466,8246,CAT 4,Homestead Senior Secondary College,Government,9 Coaching Parade,Point Cook,Wyndham,Central,144.76858,-37.91573
466,467,8904,CAT 4,Hopetoun P-12 College,Government,1 Dodgshun Street,Hopetoun,Yarriambiack,Mallee,142.36603,-35.73487
467,468,5548,CAT 4,Horsham Primary School - 298 Campus,Government,38 Baillie Street,Horsham,Horsham,Wimmera,142.21515,-36.71138
468,469,4697,CAT 4,Horsham West and Haven Primary School - Horsham West Campus,Government,24 Hillary Street,Horsham,Horsham,Wimmera,142.17999,-36.71742
469,470,2052,CAT 4,Hume Anglican Grammar - Mount Ridley Homestead Campus,Independent,100 Mount Ridley Road,Mickleham,Hume,Central,144.93125,-37.56798
470,471,5117,CAT 4,Churchill North Primary School,Government,Blackwood Crescent,Churchill,Latrobe,West and South Gippsland,146.41695,-38.30464
471,472,1147,CAT 4,Inverleigh Primary School,Government,54 High Street,Inverleigh,Golden Plains,Central,144.05469,-38.10094
472,473,2988,CAT 4,Jeparit Primary School,Government,Sands Avenue,Jeparit,Hindmarsh,Wimmera,141.98405,-36.14134
473,474,8842,CAT 4,Kaniva College,Government,2 Farmers Street,Kaniva,West Wimmera,Wimmera,141.24485,-36.38272
474,475,2069,CAT 4,Katamatite Primary School,Government,4 - 6 Currajong Avenue,Katamatite,Moira,Northern Country,145.6853,-36.07735
475,476,4401,CAT 4,Katandra West Primary School,Government,17-27 Bankin Street,Katandra West,Greater Shepparton,Northern Country,145.56071,-36.22547
476,477,4689,CAT 4,Katunga Primary School,Government,24 CARTER STREET,Katunga,Moira,Northern Country,145.45561,-35.99856
477,478,1869,CAT 4,Kerang Christian College,Independent,98 Wyndham Street,Kerang,Gannawarra,Mallee,143.91342,-35.73042
478,479,1366,CAT 4,Kialla Central Primary School,Government,128 Central Kialla Road,Kialla,Greater Shepparton,Northern Country,145.43115,-36.4527
479,480,1727,CAT 4,Kialla West Primary School,Government,7370 Goulburn Valley Highway,Kialla West,Greater Shepparton,Northern Country,145.38946,-36.46601
480,481,6229,CAT 4,Kiewa Valley Primary School,Government,81 Kiewa East Road,Tangambalanga,Indigo,North East,147.03877,-36.25105
481,482,1568,CAT 4,Kilmore Primary School,Government,35 Lancefield Road,Kilmore,Mitchell,North Central,144.94752,-37.29577
482,483,4990,CAT 4,Knox Park Primary School,Government,Kathryn Road,Knoxfield,Knox,Central,145.2514,-37.88363
483,484,3323,CAT 4,Kongwak Primary School,Government,1445 Wonthaggi Korumburra Road,Kongwak,South Gippsland,West and South Gippsland,145.71286,-38.51511
484,485,2082,CAT 4,Koonwarra Village School,Independent,20-26 Koala Drive,Koonwarra,South Gippsland,West and South Gippsland,145.94392,-38.54791
485,486,618,CAT 4,Koroit And District Primary School,Government,91 Commercial Road,Koroit,Moyne,South West,142.3687,-38.29244
486,487,7960,CAT 4,Korumburra Secondary College,Government,125 Jumbunna Road,Korumburra,South Gippsland,West and South Gippsland,145.8039,-38.44387
487,488,5182,CAT 4,Kunyung Primary School,Government,50 Kunyung Road,Mount Eliza,Mornington Peninsula,Central,145.07623,-38.18768
488,489,5594,CAT 4,Kurrun Primary School,Government,22 Allsburg Avenue ,Officer,Cardinia ,,145.40499,-38.07026
489,490,7970,CAT 4,Kyneton High School - Macedon Ranges Satellite VCAL,Government,67 Baynton Street,Kyneton,Macedon Ranges,Central,144.45817,-37.25133
490,491,854,CAT 4,Lake Bolac College,Government,90 Montgomery Street,Lake Bolac,Ararat,South West,142.8379,-37.72024
491,492,1814,CAT 4,Lancaster Primary School,Government,8 Weller Road,Lancaster,Campaspe,Northern Country,145.13282,-36.31325
492,493,2899,CAT 4,Lang Lang Primary School,Government,52 Westernport Road,Lang Lang,Cardinia,Central,145.5694,-38.26317
493,494,4885,CAT 4,Lara Primary School,Government,120 Flinders Avenue,Lara,Greater Geelong,Central,144.41054,-38.01592
494,495,8841,CAT 4,Lara Secondary College,Government,34 Alkara Avenue,Lara,Greater Geelong,Central,144.41157,-38.01818
495,496,2888,CAT 4,Glengarry Primary School,Government,Cairnbrook Road,Glengarry,Latrobe,West and South Gippsland,146.57134,-38.12758
496,497,2087,CAT 4,Leitchville Primary School,Government,2-4 Hawken Street,Leitchville,Gannawarra,Mallee,144.30209,-35.90955
497,498,8745,CAT 4,Leongatha Secondary College,Government,115 Nerrena Road,Leongatha,South Gippsland,West and South Gippsland,145.96124,-38.47869
498,499,1386,CAT 4,Lethbridge Primary School,Government,2 Stephenson Street,Lethbridge,Golden Plains,Central,144.13456,-37.96906
499,500,2963,CAT 4,Lindenow South Primary School,Government,607 Lindenow-Glenaladale Road,Lindenow South,East Gippsland,East Gippsland,147.4339,-37.82694
500,501,2221,CAT 4,Lisieux Catholic Primary School,Catholic,90 South Beach Road,Torquay North,Surf Coast,Central,144.33228,-38.30332
501,502,1293,CAT 4,Lismore Primary School,Government,77 William Street,Lismore,Corangamite,South West,143.3393,-37.9546
502,503,1961,CAT 4,Little River Primary School,Government,21 Flinders Street,Little River,Wyndham,Central,144.50037,-37.96501
503,504,2382,CAT 4,Hazelwood North Primary School,Government,121 Church Road,Hazelwood North,Latrobe,West and South Gippsland,146.44768,-38.26819
504,505,2912,CAT 4,Loch Primary School,Government,2 Victoria Road,Loch,South Gippsland,West and South Gippsland,145.70295,-38.36862
505,506,6233,CAT 4,Lockington Consolidated School,Government,20 Burns Street,Lockington,Campaspe,Northern Country,144.53664,-36.26577
506,507,5079,CAT 4,Baringa Special School,Government,47 Staff Street,Moe,Latrobe,West and South Gippsland,146.2572,-38.19174
507,508,2234,CAT 4,Lyrebird College,Independent,5/12 Kelso Street ,COLDSTREAM,Yarra Ranges,Central,145.38227,-37.73304
508,509,2243,CAT 4,Lysterfield Lake College,Independent,20 A’Beckett Road ,NARRE WARREN NORTH,Casey,Central,145.31604,-37.97748
509,510,2271,CAT 4,Magpie Primary School,Government,61 Docwra Street,Magpie,Ballarat,Central,143.84327,-37.61571
510,511,1935,CAT 4,Mansfield Autism Statewide Services - Main Campus,Independent,81 Highett Street,Mansfield,Mansfield,North East,146.08586,-37.0608
511,512,1895,CAT 4,Mansfield Rudolf Steiner School,Independent,91 Highett Street,Mansfield,Mansfield,North East,146.08574,-37.0614
512,513,8010,CAT 4,Mansfield Secondary College,Government,15 View Street,Mansfield,Mansfield,North East,146.08856,-37.06268
513,514,1903,CAT 4,Mary MacKillop Catholic Regional College,Catholic,115 Horn Street,Leongatha,South Gippsland,West and South Gippsland,145.96354,-38.46673
514,515,5420,CAT 4,Meeniyan Primary School,Government,6 Geale Street,Meeniyan,South Gippsland,West and South Gippsland,146.01518,-38.57934
515,516,1706,CAT 4,Melbourne Rudolf Steiner School,Independent,213 Wonga Road,Warranwood,Maroondah,Central,145.57208,-36.75596
516,517,1420,CAT 4,Meredith Primary School,Government,5 Wallace Street,Meredith,Golden Plains,Central,144.07781,-37.84271
517,518,5277,CAT 4,Merri River School,Government,1 Goodall Street,Warrnambool,Warrnambool,South West,142.48177,-38.35498
518,519,1874,CAT 4,Merrigum Primary School,Government,Judd Avenue,Merrigum,Greater Shepparton,Northern Country,145.12966,-36.36932
519,520,1051,CAT 4,Mickleham Primary School,Government,1880 Mickleham Road,Mickleham,Hume,Central,144.87655,-37.5635
520,521,737,CAT 4,Milawa Primary School,Government,133 Milawa-Bobinawarrah Road,Milawa,Wangaratta,North East,146.43248,-36.44454
521,522,1739,CAT 4,Miners Rest Primary School,Government,Dundas Street,Miners Rest,Ballarat,Central,143.7947,-37.47788
522,523,2167,CAT 4,Minyip Primary School,Government,21 Main Street,Minyip,Yarriambiack,Wimmera,142.5841,-36.46271
523,524,5571,CAT 4,Mirripoa Primary School,Government,80 Unity Drive,Mount Duneed,Greater Geelong,Central,144.32848,-38.22492
524,525,8809,CAT 4,Monterey Secondary College,Government,Silvertop Street,Frankston North,Frankston,Central,145.14772,-38.12612
525,526,1683,CAT 4,Moonambel Primary School,Government,24 Humffray Street,Moonambel,Pyrenees,South West,143.32074,-36.98986
526,527,2327,CAT 4,Moorooduc Primary School,Government,Cnr Derril Rd & Mornington Tyabb Rd,Moorooduc,Mornington Peninsula,Central,145.10517,-38.24809
527,528,4117,CAT 4,Moriac Primary School,Government,785 Hendy Main Road,Moriac,Surf Coast,Central,144.17557,-38.24139
528,529,2037,CAT 4,Mount Blowhard Primary School,Government,527 Millers Road,Blowhard,Ballarat,Central,143.78644,-37.42924
529,530,5380,CAT 4,Mount Duneed Regional Primary School,Government,90-100 Williams Road,Mount Duneed,Greater Geelong,Central,144.31968,-38.24124
530,531,7028,CAT 4,Mount Erin Secondary College - Frankston Campus,Government,43 Robinsons Road,Frankston South,Frankston,Central,145.14663,-38.17412
